iata,longitude,latitude,region
ANR,4.463153,51.190667,Atlantic
ANS,-73.35040283,-13.70639992,Other
ANT,10.240524,47.119621,Other
ANU,-61.792702,17.1367,Caribbean
ANV,-160.190994,62.646702,Domestic
ANW,-99.992995,42.579201,Other
ANX,16.144199,69.292503,Atlantic
ANY,-98.079597,37.158501,Other
ANZ,132.2748,-25.0325,Other
AOB,144.6358333,-4.904166667,Other
AOC,12.506389,50.981945,Other
AOD,19.2874,11.4773,Other
AOE,30.5194,39.809898,Atlantic
AOG,122.853996,41.105301,Pacific
AOH,-84.026703,40.706902,Other
AOI,13.3623,43.616299,Atlantic
AOJ,140.6909943,40.73469925,Pacific
AOK,27.146,35.421398,Atlantic
AOL,-57.1521,-29.6894,Other
AOM,57.38388889,22.49194444,Other
AOO,-78.32,40.296398,Domestic
AOP,-76.46659851,-2.796129942,Other
AOQ,-55.596287,72.88703,Atlantic
AOR,100.3980026,6.189670086,Pacific
AOS,-153.8150024,57.4715004,Other
AOT,7.3683,45.738552,Other
AOU,107.045278,14.793056,Other
APA,-104.848999,39.57009888,Other
APB,-68.411903,-14.7356,South
APC,-122.280998,38.2132,Domestic
APD,120.310436,-4.459582,Other
APF,-81.77529907,26.15259933,Other
APG,-76.1688,39.466202,Other
APH,-77.319318,38.068631,Other
API,-73.5627,4.07607,Other
APJ,81.138611,30.3975,Pacific
APK,-146.414993,-15.5736,Pacific
APL,39.28179932,-15.10560036,Atlantic
APN,-83.56030273,45.0780983,Domestic
APO,-76.7164,7.81196,Central
APP,148.103611,-8.979167,Other
APQ,-36.628983,-9.776589,Other
APR,142.5401389,-4.676666667,Other
APS,-48.9288,-16.363575,Other
APT,-85.585297,35.060699,Other
APU,-51.384301,-23.609099,Other
APV,-117.185997,34.57529831,Other
APW,-172.0079956,-13.82999992,Pacific
APX,-51.491967,-23.352636,Other
APY,-45.955603,-9.08533,Other
APZ,-70.113602,-38.975498,Other
AQA,-48.132999,-21.812,South
AQB,-91.150597,15.0122,Other
AQG,117.050003,30.582199,Pacific
AQI,46.125099,28.335199,Atlantic
AQJ,35.01810074,29.61160088,Atlantic
AQM,-63.047115,-9.880436,Other
AQP,-71.58309937,-16.34110069,South
AQY,-149.119792,60.968774,Other
ARA,-91.883904,30.0378,Other
ARB,-83.74559784,42.22299957,Other
ARC,-145.578995,68.1147,Domestic
ARD,124.597,-8.13234,Pacific
ARE,-66.675768,18.45085,Other
ARF,-70.133333,0.533333,Other
ARG,-90.925111,36.124667,Other
ARH,40.71670151,64.60030365,Atlantic
ARI,-70.338699,-18.348499,South
ARK,36.63330078,-3.367789984,Atlantic
ARL,1.483,11.597,Other
ARM,151.6170044,-30.52809906,Pacific
ARN,17.928829,59.64849,Atlantic
ARO,-76.422676,8.855118,Other
ARP,149.4833333,-9.883333333,Other
ARQ,-71.388901,7.02106,Other
ARR,-70.812202,-45.013599,Other
ARS,-52.2411,-15.8994,Other
ART,-76.021698,43.991901,Domestic
ARU,-50.424575,-21.141479,South
ARV,-89.730904,45.927898,Other
ARW,21.261999,46.176601,Other
ARX,-37.805135,-4.568896,Other
ARY,142.988688,-37.309978,Other
ARZ,12.862355,-7.259277,Other
ASA,42.645,13.0718,Other
ASB,58.361,37.986801,Atlantic
ASC,-63.155575,-15.933365,Other
ASD,-77.795601,24.697901,Other
ASE,-106.869003,39.223202,Domestic
ASF,48.010511,46.282843,Atlantic
ASG,171.796997,-43.903301,Other
ASH,-71.514801,42.7817,Other
ASI,-14.3937,-7.9696,Other
ASJ,129.7129974,28.43059921,Pacific
ASK,-5.365580082,6.903170109,Other
ASL,-94.30780029,32.52050018,Other
ASM,38.91070175,15.29189968,Atlantic
ASN,-86.05090332,33.56990051,Other
ASO,34.5862999,10.01850033,Atlantic
ASP,133.903427,-23.806588,Pacific
ASQ,-117.197576,39.467708,Other
ASR,35.49539948,38.770401,Atlantic
ASS,31.517973,-24.740527,Other
AST,-123.8789978,46.15800095,Other
ASU,-57.519227,-25.240156,South
ASV,37.25310135,-2.645050049,Atlantic
ASW,32.824445,23.968137,Atlantic
ASX,-90.91899872,46.54850006,Other
ASY,-99.3526001,46.02389908,Other
ASZ,150.3686111,-6.009722222,Other
ATA,-77.5983963,-9.347439766,South
ATB,34.057018,17.710344,Other
ATC,-75.673797,24.6294,Other
ATD,161.011002,-8.87333,Pacific
ATE,-95.64990234,34.19260025,Other
ATF,-78.5746,-1.21207,Other
ATG,72.40090179,33.86909866,Other
ATH,23.9445,37.936401,Atlantic
ATI,-56.5079,-30.4007,Other
ATJ,47.063713,-19.839221,Other
ATK,-157.436013,70.46704,Domestic
ATL,-84.428101,33.6367,Domestic
